CustomerID,CustomerName,Gender,AgeGroup,State,CustomerType
1,Diya Bahl,Male,26-35,Delhi,New
2,Emir Goel,Female,26-35,Gujarat,Returning
3,Anahi Bala,Male,18-25,Karnataka,New
4,Alia Karan,Male,36-45,Karnataka,Returning
5,Dishani Bhavsar,Male,46-60,Gujarat,Returning
6,Damini Behl,Female,46-60,Kerala,Returning
7,Eva Madan,Male,36-45,Telangana,Returning
8,Eva Desai,Male,18-25,Uttar Pradesh,Returning
9,Ahana  Halder,Male,46-60,Delhi,Returning
10,Sara Sehgal,Female,60+,Kerala,New
11,Rasha Saini,Male,46-60,Rajasthan,New
12,Mahika Kade,Male,18-25,Telangana,New
13,Riaan Varty,Male,26-35,Kerala,Returning
14,Suhana Kothari,Male,26-35,Maharashtra,New
15,Dhruv Khatri,Female,26-35,Telangana,Returning
16,Manikya Dewan,Male,18-25,Uttar Pradesh,New
17,Aayush Rege,Female,26-35,Delhi,Returning
18,Faiyaz Dhar,Female,26-35,Tamil Nadu,New
19,Mehul Bakshi,Female,18-25,West Bengal,New
20,Lakshit Iyer,Male,60+,Karnataka,New
21,Fateh Rama,Female,46-60,Uttar Pradesh,New
22,Tanya Rama,Male,18-25,Maharashtra,New
23,Miraya Gokhale,Female,18-25,Uttar Pradesh,New
24,Onkar Kapur,Female,36-45,Telangana,Returning
25,Vardaniya Brahmbhatt,Female,26-35,Karnataka,New
26,Lakshit Soman,Female,60+,Rajasthan,Returning
27,Farhan Rege,Female,36-45,Gujarat,Returning
28,Neelofar Shankar,Female,60+,Maharashtra,Returning
29,Khushi Sinha,Female,26-35,Rajasthan,New
30,Miraya Sankaran,Female,26-35,Kerala,New
31,Riya Kurian,Male,26-35,Tamil Nadu,Returning
32,Lakshit Dixit,Male,46-60,Gujarat,New
33,Aarna Sawhney,Female,60+,Rajasthan,New
34,Adah Mallick,Female,60+,Telangana,New
35,Oorja Kanda,Female,36-45,Rajasthan,New
36,Himmat Raval,Male,18-25,Karnataka,New
37,Kaira Gole,Female,26-35,Telangana,New
38,Advik Cherian,Male,26-35,Gujarat,New
39,Vedika Bhattacharyya,Male,36-45,Tamil Nadu,Returning
40,Ishita Ravel,Male,60+,Kerala,New
41,Akarsh Jha,Male,46-60,Uttar Pradesh,Returning
42,Parinaaz Loyal,Male,60+,Kerala,New
43,Anika Arora,Female,46-60,Delhi,Returning
44,Divit Thakkar,Female,46-60,Tamil Nadu,New
45,Hunar Bains,Female,60+,Karnataka,New
46,Kimaya Gour,Female,26-35,Gujarat,New
47,Dhanush Bhavsar,Female,46-60,Telangana,New
48,Samarth Bhavsar,Male,36-45,Karnataka,Returning
49,Jayesh Shanker,Female,36-45,Uttar Pradesh,New
50,Shamik Apte,Female,46-60,Maharashtra,New
51,Nehmat Arora,Male,26-35,Telangana,New
52,Nayantara Mandal,Female,46-60,West Bengal,New
53,Armaan Chandra,Male,36-45,Kerala,New
54,Madhup Dhar,Female,36-45,Tamil Nadu,Returning
55,Myra Viswanathan,Male,60+,West Bengal,Returning
56,Kiara Kaul,Female,26-35,Kerala,Returning
57,Kiara Khurana,Female,60+,Tamil Nadu,New
58,Parinaaz Kapur,Male,18-25,Maharashtra,New
59,Ayesha Jayaraman,Male,46-60,Telangana,Returning
60,Zaina Balay,Male,60+,Maharashtra,Returning
61,Raunak Sachdev,Male,26-35,Delhi,New
62,Rati Bakshi,Male,46-60,Delhi,New
63,Advik Chaudhary,Male,46-60,Karnataka,Returning
64,Emir Garde,Male,46-60,Kerala,New
65,Prerak Bobal,Male,46-60,Rajasthan,Returning
66,Vidur Karan,Female,46-60,Gujarat,New
67,Zain Sant,Female,26-35,Karnataka,Returning
68,Sahil Sood,Male,18-25,Uttar Pradesh,New
69,Myra Mannan,Female,36-45,Kerala,New
70,Ritvik Barad,Female,18-25,Gujarat,Returning
71,Neysa Issac,Female,36-45,Kerala,New
72,Sara Kanda,Female,60+,Maharashtra,Returning
73,Ehsaan Ranganathan,Male,46-60,Karnataka,Returning
74,Gatik Gopal,Female,60+,Tamil Nadu,Returning
75,Manjari Dhar,Male,60+,West Bengal,Returning
76,Bhamini Mammen,Female,36-45,Delhi,New
77,Charvi Chowdhury,Female,26-35,Telangana,Returning
78,Kimaya Mandal,Female,46-60,Delhi,Returning
79,Hiran Din,Male,60+,Karnataka,Returning
80,Divij Sastry,Female,18-25,Karnataka,New
81,Sumer Salvi,Male,46-60,Telangana,New
82,Hansh Kothari,Female,26-35,Karnataka,New
83,Hrishita Arora,Male,46-60,Karnataka,Returning
84,Myra Tak,Female,60+,Maharashtra,New
85,Kavya Savant,Male,18-25,Tamil Nadu,New
86,Faiyaz Kar,Male,60+,West Bengal,New
87,Anvi Khare,Female,26-35,Gujarat,Returning
88,Zain Bumb,Male,36-45,Delhi,New
89,Samar Dhar,Female,18-25,Uttar Pradesh,New
90,Rati Lal,Female,26-35,Kerala,New
91,Faiyaz Saran,Female,26-35,West Bengal,Returning
92,Seher Ben,Female,60+,Delhi,New
93,Ryan Jha,Female,60+,Gujarat,New
94,Kimaya Varty,Female,60+,Rajasthan,New
95,Zaina Subramanian,Female,36-45,Uttar Pradesh,New
96,Khushi Dash,Female,46-60,Tamil Nadu,New
97,Jivika Garde,Female,46-60,Rajasthan,New
98,Jhanvi Badal,Female,60+,Telangana,Returning
99,Divij Sabharwal,Female,60+,Tamil Nadu,New
100,Nehmat Magar,Male,36-45,Karnataka,New
101,Advika Karpe,Male,46-60,Kerala,New
102,Aarna Setty,Female,36-45,Tamil Nadu,Returning
103,Vardaniya Doctor,Female,26-35,Uttar Pradesh,New
104,Azad Bhatt,Female,46-60,Telangana,Returning
105,Vardaniya Ganesan,Female,60+,Delhi,Returning
106,Vidur Gara,Female,18-25,Telangana,New
107,Kismat Ramakrishnan,Female,26-35,Telangana,New
108,Himmat Bhakta,Female,18-25,West Bengal,New
109,Ritvik Sama,Female,36-45,Kerala,Returning
110,Aradhya Shan,Male,36-45,West Bengal,Returning
111,Vritika Shroff,Female,36-45,West Bengal,Returning
112,Arhaan Balakrishnan,Male,60+,Tamil Nadu,Returning
113,Divyansh Thakur,Female,36-45,Rajasthan,New
114,Reyansh Deep,Female,18-25,Maharashtra,New
115,Ivana Bath,Male,26-35,Karnataka,Returning
116,Amira Verma,Female,60+,West Bengal,Returning
117,Saksham Gill,Male,26-35,Tamil Nadu,Returning
118,Amira Rout,Female,36-45,Kerala,New
119,Lagan Walia,Female,46-60,Gujarat,Returning
120,Ritvik Raju,Male,60+,West Bengal,Returning
121,Eshani Mangal,Female,36-45,West Bengal,Returning
122,Miraya Soman,Male,60+,Uttar Pradesh,New
123,Yuvraj  Sodhi,Female,46-60,Rajasthan,Returning
124,Ayesha Bali,Male,18-25,Delhi,Returning
125,Mahika Sarna,Male,18-25,Uttar Pradesh,New
126,Nakul Chaudhuri,Female,18-25,Karnataka,Returning
127,Rhea Randhawa,Female,46-60,Tamil Nadu,New
128,Shayak Sankar,Male,26-35,Delhi,Returning
129,Akarsh Dugar,Female,46-60,Delhi,Returning
130,Riaan Upadhyay,Female,46-60,Karnataka,Returning
131,Adira Kulkarni,Female,36-45,Tamil Nadu,New
132,Tiya Sura,Male,18-25,Karnataka,Returning
133,Hridaan Kakar,Male,60+,Maharashtra,New
134,Vihaan Chopra,Male,26-35,Rajasthan,New
135,Ryan Vora,Male,60+,Kerala,Returning
136,Ishaan Devi,Male,36-45,Telangana,Returning
137,Ishita Dugar,Male,36-45,Karnataka,New
138,Prisha Loyal,Male,26-35,Telangana,Returning
139,Farhan Char,Male,60+,West Bengal,New
140,Saira Sridhar,Male,26-35,Uttar Pradesh,Returning
141,Raghav Gole,Female,26-35,Gujarat,New
142,Aniruddh Shanker,Male,18-25,Delhi,New
143,Suhana Sawhney,Female,60+,Gujarat,New
144,Badal Sankar,Female,18-25,Telangana,New
145,Elakshi Loyal,Female,18-25,Rajasthan,New
146,Ishita Gole,Male,18-25,Telangana,Returning
147,Khushi Choudhary,Male,46-60,Uttar Pradesh,New
